ITERATION,dist_type,hist_type,num_bins,run_time,score
1,l2,grayvalue,150.0,0.3731503486633301,0.25842696629213485
1,intersect,rg,90.0,5.089997053146362,0.6853932584269663
1,l2,dxdy,90.0,6.72853422164917,0.33707865168539325
1,intersect,rgb,25.0,7.56540846824646,0.9101123595505618
1,l2,grayvalue,30.0,0.37798190116882324,0.4044943820224719
1,intersect,rg,140.0,6.997065782546997,0.6853932584269663
1,intersect,rgb,55.0,17.481984615325928,0.8764044943820225
1,intersect,grayvalue,95.0,0.35967016220092773,0.5730337078651685
1,intersect,rgb,30.0,10.187958717346191,0.8089887640449438
1,intersect,dxdy,110.0,10.25709843635559,0.449438202247191
1,intersect,rgb,90.0,57.1128625869751,0.7078651685393258
1,intersect,grayvalue,10.0,0.5079915523529053,0.5056179775280899
1,chi2,rgb,50.0,35.608195304870605,0.33707865168539325
1,intersect,rgb,85.0,56.88653349876404,0.8202247191011236
1,intersect,rg,50.0,5.5200488567352295,0.7303370786516854
1,l2,grayvalue,60.0,0.32715606689453125,0.34831460674157305
1,l2,dxdy,45.0,6.8128087520599365,0.3595505617977528
1,chi2,dxdy,65.0,6.796371936798096,0.39325842696629215
1,chi2,grayvalue,125.0,0.38695597648620605,0.33707865168539325
1,intersect,dxdy,75.0,6.860748291015625,0.5168539325842697
1,chi2,rg,150.0,6.540453672409058,0.30337078651685395
1,l2,rgb,45.0,9.627727508544922,0.38202247191011235
1,intersect,rgb,15.0,7.524012565612793,0.8764044943820225
1,l2,dxdy,90.0,7.260604381561279,0.33707865168539325
1,l2,grayvalue,85.0,0.5023374557495117,0.38202247191011235
1,l2,rgb,10.0,9.103218793869019,0.6067415730337079
1,l2,rgb,105.0,104.08092045783997,0.3258426966292135
1,intersect,grayvalue,100.0,0.6019003391265869,0.42696629213483145
1,chi2,dxdy,145.0,11.478527307510376,0.34831460674157305
1,l2,rgb,65.0,28.458316802978516,0.3146067415730337
1,l2,rg,30.0,5.325304746627808,0.43820224719101125
1,l2,dxdy,20.0,7.112363815307617,0.4157303370786517
1,intersect,dxdy,50.0,6.987513542175293,0.48314606741573035
1,intersect,rgb,10.0,7.799341678619385,0.7865168539325843
1,l2,rgb,65.0,29.172924757003784,0.3146067415730337
1,l2,rgb,55.0,20.148618459701538,0.34831460674157305
1,chi2,rgb,55.0,60.249980211257935,0.3707865168539326
1,intersect,rg,25.0,7.252710342407227,0.8426966292134831
1,intersect,rgb,135.0,185.6555736064911,0.7303370786516854
1,intersect,rg,35.0,5.352233171463013,0.8426966292134831
1,chi2,rgb,55.0,56.94402718544006,0.3707865168539326
1,l2,dxdy,55.0,6.820559024810791,0.34831460674157305
1,intersect,grayvalue,95.0,0.36676502227783203,0.5730337078651685
1,l2,rgb,25.0,7.798356056213379,0.5056179775280899
1,l2,dxdy,55.0,7.028478384017944,0.34831460674157305
1,intersect,rg,60.0,5.650215148925781,0.7191011235955056
1,l2,dxdy,100.0,7.725560426712036,0.34831460674157305
1,chi2,rgb,50.0,28.30613660812378,0.33707865168539325
1,intersect,rgb,120.0,141.8337185382843,0.651685393258427
1,l2,rgb,5.0,7.44228982925415,0.6404494382022472
1,intersect,rg,135.0,6.2333245277404785,0.7415730337078652
1,l2,dxdy,70.0,7.165440797805786,0.34831460674157305
1,intersect,rgb,30.0,8.407172203063965,0.8089887640449438
1,chi2,rg,115.0,6.390230894088745,0.38202247191011235
1,intersect,dxdy,20.0,7.355671644210815,0.5168539325842697
1,chi2,grayvalue,75.0,0.38562440872192383,0.3707865168539326
1,chi2,dxdy,65.0,8.137562990188599,0.39325842696629215
1,chi2,rg,30.0,5.8103578090667725,0.47191011235955055
1,chi2,rgb,35.0,11.094550848007202,0.5056179775280899
1,intersect,rgb,90.0,48.474870920181274,0.7078651685393258
1,chi2,dxdy,15.0,8.071194648742676,0.39325842696629215
1,chi2,rg,70.0,6.024750471115112,0.33707865168539325
1,intersect,rg,35.0,5.863502264022827,0.8426966292134831
1,intersect,grayvalue,55.0,0.3812077045440674,0.5168539325842697
1,chi2,rg,105.0,6.8742289543151855,0.3595505617977528
1,l2,rg,20.0,6.110787391662598,0.48314606741573035
1,intersect,dxdy,35.0,9.838483572006226,0.5056179775280899
1,l2,rg,130.0,8.052579164505005,0.3146067415730337
1,intersect,dxdy,70.0,10.515731573104858,0.4606741573033708
1,intersect,grayvalue,130.0,0.5267078876495361,0.449438202247191
1,chi2,grayvalue,55.0,0.5013973712921143,0.39325842696629215
1,l2,rgb,135.0,228.865140914917,0.2696629213483146
1,intersect,rgb,80.0,59.98980164527893,0.7078651685393258
1,l2,dxdy,140.0,9.019645929336548,0.3146067415730337
1,l2,dxdy,70.0,8.040899515151978,0.34831460674157305
1,intersect,grayvalue,5.0,0.3221609592437744,0.4157303370786517
1,l2,rg,110.0,6.64431619644165,0.3146067415730337
1,chi2,rg,150.0,7.491818189620972,0.30337078651685395
1,intersect,rg,15.0,6.109509229660034,0.8314606741573034
1,intersect,rgb,100.0,93.52091193199158,0.6853932584269663
1,chi2,grayvalue,15.0,0.4301185607910156,0.4044943820224719
1,chi2,rg,120.0,7.722158193588257,0.3258426966292135
1,intersect,grayvalue,30.0,0.42250919342041016,0.5056179775280899
1,l2,rgb,45.0,13.120619297027588,0.38202247191011235
1,l2,dxdy,55.0,9.269579887390137,0.34831460674157305
1,chi2,grayvalue,10.0,0.520216703414917,0.47191011235955055
1,l2,dxdy,35.0,9.48277997970581,0.3707865168539326
1,l2,rg,50.0,7.702194452285767,0.34831460674157305
1,intersect,rg,20.0,7.415629863739014,0.7303370786516854
1,l2,dxdy,10.0,9.514050722122192,0.34831460674157305
1,l2,rg,35.0,7.54675030708313,0.5617977528089888
1,l2,dxdy,60.0,10.185628890991211,0.34831460674157305
1,l2,rgb,110.0,157.71988105773926,0.24719101123595505
1,chi2,grayvalue,155.0,0.6421928405761719,0.3595505617977528
1,l2,dxdy,75.0,9.673428297042847,0.34831460674157305
1,l2,dxdy,90.0,9.763412475585938,0.33707865168539325
1,l2,rgb,135.0,253.51917934417725,0.2696629213483146
1,l2,rgb,105.0,137.5510642528534,0.3258426966292135
1,chi2,rgb,90.0,187.9303195476532,0.30337078651685395
1,intersect,rgb,140.0,168.3689670562744,0.651685393258427
1,chi2,grayvalue,150.0,0.34574460983276367,0.3146067415730337
1,intersect,rg,145.0,4.9133241176605225,0.7528089887640449
1,l2,dxdy,100.0,6.5993311405181885,0.34831460674157305
1,chi2,rg,35.0,5.896815776824951,0.6067415730337079
1,chi2,grayvalue,35.0,0.299257755279541,0.4044943820224719
1,l2,rg,140.0,6.1749794483184814,0.30337078651685395
1,l2,dxdy,90.0,7.414278984069824,0.33707865168539325
1,intersect,rg,115.0,5.703480005264282,0.7528089887640449
1,l2,rg,65.0,4.840805768966675,0.39325842696629215
1,l2,grayvalue,150.0,0.3738129138946533,0.25842696629213485
1,l2,rg,130.0,5.093161106109619,0.3146067415730337
1,l2,rgb,5.0,6.406501531600952,0.6404494382022472
1,intersect,dxdy,85.0,6.392322540283203,0.4943820224719101
1,intersect,grayvalue,40.0,0.32921338081359863,0.5280898876404494
1,chi2,rg,85.0,5.37940239906311,0.38202247191011235
1,chi2,rgb,30.0,8.044463634490967,0.42696629213483145
1,intersect,rgb,35.0,8.258254766464233,0.898876404494382
1,intersect,rg,30.0,5.129468679428101,0.7303370786516854
1,intersect,grayvalue,140.0,0.35600972175598145,0.42696629213483145
1,l2,dxdy,50.0,6.48952841758728,0.3595505617977528
1,intersect,rgb,45.0,9.615607976913452,0.8764044943820225
1,intersect,rg,40.0,5.186299562454224,0.7528089887640449
1,chi2,rg,30.0,5.191740989685059,0.47191011235955055
1,l2,grayvalue,120.0,0.3642725944519043,0.29213483146067415
1,intersect,rg,140.0,6.38965630531311,0.6853932584269663
1,l2,rgb,55.0,12.630069255828857,0.34831460674157305
1,l2,dxdy,70.0,8.093689203262329,0.34831460674157305
1,l2,grayvalue,35.0,0.38675689697265625,0.3707865168539326
1,chi2,dxdy,140.0,11.539067029953003,0.3595505617977528
1,chi2,rg,75.0,7.479912042617798,0.4157303370786517
1,intersect,grayvalue,120.0,0.4782280921936035,0.43820224719101125
1,chi2,dxdy,35.0,9.5784432888031,0.38202247191011235
1,chi2,rg,85.0,15.418243169784546,0.38202247191011235
1,l2,grayvalue,135.0,0.5491538047790527,0.30337078651685395
1,chi2,grayvalue,145.0,0.6068840026855469,0.33707865168539325
1,intersect,grayvalue,125.0,0.5473644733428955,0.5280898876404494
1,chi2,grayvalue,115.0,0.5504651069641113,0.3258426966292135
1,l2,dxdy,145.0,10.36187195777893,0.3146067415730337
1,l2,rgb,75.0,63.37496733665466,0.3258426966292135
1,chi2,rg,110.0,7.616970777511597,0.33707865168539325
1,l2,dxdy,60.0,9.802303075790405,0.34831460674157305
1,intersect,rgb,135.0,217.44255018234253,0.7303370786516854
1,l2,dxdy,95.0,10.174745082855225,0.34831460674157305
1,chi2,rgb,80.0,205.69444298744202,0.3146067415730337
1,intersect,rgb,130.0,220.13458371162415,0.6404494382022472
1,chi2,dxdy,115.0,10.021588325500488,0.3595505617977528
1,l2,grayvalue,85.0,0.4125516414642334,0.38202247191011235
1,intersect,dxdy,135.0,8.231783628463745,0.5056179775280899
1,l2,rg,40.0,5.668176651000977,0.4157303370786517
1,l2,dxdy,25.0,7.0387184619903564,0.38202247191011235
1,intersect,rgb,20.0,8.207349061965942,0.797752808988764
1,chi2,grayvalue,145.0,0.6929335594177246,0.33707865168539325
1,l2,grayvalue,20.0,0.5727102756500244,0.38202247191011235
1,l2,dxdy,115.0,9.791851282119751,0.3258426966292135
1,chi2,grayvalue,70.0,0.6931591033935547,0.3595505617977528
1,chi2,dxdy,60.0,10.286486148834229,0.3707865168539326
1,intersect,rg,80.0,8.095871686935425,0.6853932584269663
1,intersect,grayvalue,15.0,0.6001975536346436,0.449438202247191
1,intersect,rgb,120.0,163.48412466049194,0.651685393258427
1,chi2,rgb,80.0,188.6871862411499,0.3146067415730337
1,chi2,dxdy,30.0,8.684678077697754,0.39325842696629215
1,l2,rg,35.0,6.1999876499176025,0.5617977528089888
1,intersect,rgb,25.0,9.517574787139893,0.9101123595505618
1,chi2,rgb,55.0,62.913511514663696,0.3707865168539326
1,chi2,dxdy,70.0,8.75361967086792,0.39325842696629215
1,chi2,rg,25.0,5.8946826457977295,0.5955056179775281
1,l2,rg,20.0,5.83312463760376,0.48314606741573035
1,intersect,rg,95.0,6.419565200805664,0.797752808988764
1,intersect,rgb,45.0,12.799870491027832,0.8764044943820225
1,intersect,rgb,35.0,10.200248718261719,0.898876404494382
1,l2,grayvalue,85.0,0.6381359100341797,0.38202247191011235
1,l2,dxdy,30.0,12.673481941223145,0.38202247191011235
1,intersect,dxdy,120.0,14.099979877471924,0.48314606741573035
1,l2,rg,70.0,8.745193004608154,0.3258426966292135
1,l2,grayvalue,40.0,0.7962286472320557,0.38202247191011235
1,l2,dxdy,120.0,11.575387477874756,0.3258426966292135
1,chi2,rgb,60.0,77.74281477928162,0.3595505617977528
1,intersect,grayvalue,120.0,0.7378857135772705,0.43820224719101125
1,l2,rg,10.0,8.17929482460022,0.5842696629213483
1,chi2,rg,25.0,8.373912572860718,0.5955056179775281
1,chi2,rg,95.0,9.023221969604492,0.3595505617977528
1,chi2,rg,145.0,10.156262636184692,0.3707865168539326
1,intersect,dxdy,40.0,12.285422325134277,0.47191011235955055
1,intersect,rg,145.0,10.993866920471191,0.7528089887640449
1,intersect,grayvalue,110.0,0.6169800758361816,0.43820224719101125
1,l2,rgb,105.0,124.21114087104797,0.3258426966292135
1,chi2,grayvalue,100.0,0.6652560234069824,0.33707865168539325
1,l2,grayvalue,155.0,0.6504349708557129,0.3258426966292135
1,chi2,grayvalue,145.0,0.665125846862793,0.33707865168539325
1,intersect,dxdy,130.0,11.901916265487671,0.48314606741573035
1,l2,rg,30.0,8.18912386894226,0.43820224719101125
